36.255.234.160 - - [04/Apr/2021:14:20:43 +0300] "GET /icon/favicon.ico HTTP/1.0" 200 1344 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:87.0) Gecko/20100101 Firefox/87.0"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET / HTTP/1.0" 200 14838 "https://yandex.ru/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /css/animate_aos.css HTTP/2.0" 200 2346 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /css/normalize.css HTTP/2.0" 200 1702 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /css/main.css HTTP/2.0" 200 3786 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /css/win_modal.css HTTP/2.0" 200 570 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /css/dop.css HTTP/2.0" 200 727 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /css/mobile.css HTTP/2.0" 200 460 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /js/jquery-3.5.1.min.js HTTP/2.0" 200 30950 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /js/blazy.min.js HTTP/2.0" 200 2009 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /js/all.js HTTP/2.0" 200 2269 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
195.211.206.242 - - [04/Apr/2021:14:47:42 +0300] "GET /icon/logo-zero.gif HTTP/2.0" 200 91090 "https://clleoweb.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
